1. [211] gl | Priorita' Thread: 10/10 | Metri Percorsi: 1002.929
96. [324] ku | Priorita' Thread: 10/10 | Metri Percorsi: 1004.256
97. [401] nt | Priorita' Thread: 8/10 | Metri Percorsi: 1008.755
98. [589] uz | Priorita' Thread: 7/10 | Metri Percorsi: 1009.331
99. [656] xo | Priorita' Thread: 10/10 | Metri Percorsi: 1001.206
100. [214] go | Priorita' Thread: 8/10 | Metri Percorsi: 1022.537
101. [295] jr | Priorita' Thread: 8/10 | Metri Percorsi: 1024.389
102. [307] kd | Priorita' Thread: 10/10 | Metri Percorsi: 1021.647
103. [317] kn | Priorita' Thread: 8/10 | Metri Percorsi: 1002.801
104. [371] mp | Priorita' Thread: 9/10 | Metri Percorsi: 1002.360
105. [374] ms | Priorita' Thread: 8/10 | Metri Percorsi: 1004.791
106. [426] os | Priorita' Thread: 10/10 | Metri Percorsi: 1016.355
107. [439] pf | Priorita' Thread: 7/10 | Metri Percorsi: 1003.570
108. [457] px | Priorita' Thread: 10/10 | Metri Percorsi: 1001.630
109. [618] wc | Priorita' Thread: 8/10 | Metri Percorsi: 1005.470
110. [655] xn | Priorita' Thread: 8/10 | Metri Percorsi: 1007.004
111. [696] zc | Priorita' Thread: 7/10 | Metri Percorsi: 1008.204
112. [79] bv | Priorita' Thread: 9/10 | Metri Percorsi: 1001.353
113. [127] df | Priorita' Thread: 9/10 | Metri Percorsi: 1002.508
114. [146] dy | Priorita' Thread: 7/10 | Metri Percorsi: 1015.563
115. [325] kv | Priorita' Thread: 7/10 | Metri Percorsi: 1016.135
116. [332] lc | Priorita' Thread: 8/10 | Metri Percorsi: 1021.772
117. [389] nh | Priorita' Thread: 9/10 | Metri Percorsi: 1012.191
118. [418] ok | Priorita' Thread: 9/10 | Metri Percorsi: 1007.958
119. [447] pn | Priorita' Thread: 9/10 | Metri Percorsi: 1000.221
120. [523] sl | Priorita' Thread: 9/10 | Metri Percorsi: 1020.108
121. [72] bo | Priorita' Thread: 6/10 | Metri Percorsi: 1006.993
122. [174] fa | Priorita' Thread: 9/10 | Metri Percorsi: 1001.479
123. [202] gc | Priorita' Thread: 8/10 | Metri Percorsi: 1007.689
124. [222] gw | Priorita' Thread: 7/10 | Metri Percorsi: 1002.073
125. [444] pk | Priorita' Thread: 8/10 | Metri Percorsi: 1016.505
126. [550] tm | Priorita' Thread: 8/10 | Metri Percorsi: 1016.682
127. [121] cz | Priorita' Thread: 9/10 | Metri Percorsi: 1013.249
128. [193] ft | Priorita' Thread: 8/10 | Metri Percorsi: 1019.215
129. [535] sx | Priorita' Thread: 8/10 | Metri Percorsi: 1024.623
130. [553] tp | Priorita' Thread: 9/10 | Metri Percorsi: 1007.565
131. [138] dq | Priorita' Thread: 8/10 | Metri Percorsi: 1001.502
132. [239] hn | Priorita' Thread: 8/10 | Metri Percorsi: 1006.564
133. [249] hx | Priorita' Thread: 10/10 | Metri Percorsi: 1003.112
134. [315] kl | Priorita' Thread: 7/10 | Metri Percorsi: 1001.318
135. [461] qb | Priorita' Thread: 9/10 | Metri Percorsi: 1019.655
136. [497] rl | Priorita' Thread: 10/10 | Metri Percorsi: 1022.692
137. [629] wn | Priorita' Thread: 9/10 | Metri Percorsi: 1010.822
138. [635] wt | Priorita' Thread: 8/10 | Metri Percorsi: 1003.860
139. [114] cs | Priorita' Thread: 6/10 | Metri Percorsi: 1007.063
140. [144] dw | Priorita' Thread: 7/10 | Metri Percorsi: 1008.148
141. [169] ev | Priorita' Thread: 9/10 | Metri Percorsi: 1005.093
142. [251] hz | Priorita' Thread: 9/10 | Metri Percorsi: 1021.004
143. [417] oj | Priorita' Thread: 8/10 | Metri Percorsi: 1003.551
144. [537] sz | Priorita' Thread: 7/10 | Metri Percorsi: 1014.745
145. [571] uh | Priorita' Thread: 7/10 | Metri Percorsi: 1001.333
146. [55] ax | Priorita' Thread: 6/10 | Metri Percorsi: 1007.600
147. [160] em | Priorita' Thread: 8/10 | Metri Percorsi: 1002.633
148. [161] en | Priorita' Thread: 8/10 | Metri Percorsi: 1000.469
149. [410] oc | Priorita' Thread: 9/10 | Metri Percorsi: 1002.706
150. [455] pv | Priorita' Thread: 7/10 | Metri Percorsi: 1011.577
151. [506] ru | Priorita' Thread: 6/10 | Metri Percorsi: 1005.576
152. [559] tv | Priorita' Thread: 7/10 | Metri Percorsi: 1004.995
153. [564] ua | Priorita' Thread: 9/10 | Metri Percorsi: 1010.456
154. [582] us | Priorita' Thread: 8/10 | Metri Percorsi: 1022.896
155. [583] ut | Priorita' Thread: 8/10 | Metri Percorsi: 1010.109
156. [80] bw | Priorita' Thread: 8/10 | Metri Percorsi: 1002.998
157. [112] cq | Priorita' Thread: 8/10 | Metri Percorsi: 1010.450
158. [310] kg | Priorita' Thread: 6/10 | Metri Percorsi: 1015.068
159. [386] ne | Priorita' Thread: 7/10 | Metri Percorsi: 1000.873
160. [423] op | Priorita' Thread: 7/10 | Metri Percorsi: 1000.280
161. [430] ow | Priorita' Thread: 6/10 | Metri Percorsi: 1000.351
162. [435] pb | Priorita' Thread: 8/10 | Metri Percorsi: 1005.301
163. [562] ty | Priorita' Thread: 8/10 | Metri Percorsi: 1004.429
164. [683] yp | Priorita' Thread: 7/10 | Metri Percorsi: 1008.015
165. [107] cl | Priorita' Thread: 6/10 | Metri Percorsi: 1006.948
166. [195] fv | Priorita' Thread: 9/10 | Metri Percorsi: 1003.664
167. [223] gx | Priorita' Thread: 8/10 | Metri Percorsi: 1019.953
168. [245] ht | Priorita' Thread: 8/10 | Metri Percorsi: 1005.243
169. [284] jg | Priorita' Thread: 8/10 | Metri Percorsi: 1000.450
170. [464] qe | Priorita' Thread: 9/10 | Metri Percorsi: 1004.346
171. [474] qo | Priorita' Thread: 7/10 | Metri Percorsi: 1008.523
172. [502] rq | Priorita' Thread: 9/10 | Metri Percorsi: 1012.347
173. [507] rv | Priorita' Thread: 9/10 | Metri Percorsi: 1004.273
174. [628] wm | Priorita' Thread: 7/10 | Metri Percorsi: 1000.003
175. [673] yf | Priorita' Thread: 8/10 | Metri Percorsi: 1003.290
176. [677] yj | Priorita' Thread: 7/10 | Metri Percorsi: 1000.317
177. [192] fs | Priorita' Thread: 9/10 | Metri Percorsi: 1002.931
178. [231] hf | Priorita' Thread: 7/10 | Metri Percorsi: 1002.404
179. [359] md | Priorita' Thread: 8/10 | Metri Percorsi: 1007.334
180. [490] re | Priorita' Thread: 8/10 | Metri Percorsi: 1005.604
181. [491] rf | Priorita' Thread: 8/10 | Metri Percorsi: 1013.682
182. [542] te | Priorita' Thread: 7/10 | Metri Percorsi: 1004.445
183. [595] vf | Priorita' Thread: 7/10 | Metri Percorsi: 1009.433
184. [621] wf | Priorita' Thread: 6/10 | Metri Percorsi: 1002.968
185. [669] yb | Priorita' Thread: 7/10 | Metri Percorsi: 1016.219
186. [687] yt | Priorita' Thread: 8/10 | Metri Percorsi: 1011.457
187. [705] zl | Priorita' Thread: 9/10 | Metri Percorsi: 1000.721
188. [213] gn | Priorita' Thread: 7/10 | Metri Percorsi: 1015.801
189. [296] js | Priorita' Thread: 7/10 | Metri Percorsi: 1008.946
190. [328] ky | Priorita' Thread: 6/10 | Metri Percorsi: 1007.693
191. [333] ld | Priorita' Thread: 7/10 | Metri Percorsi: 1012.244
192. [342] lm | Priorita' Thread: 7/10 | Metri Percorsi: 1003.832
193. [372] mq | Priorita' Thread: 7/10 | Metri Percorsi: 1009.754
194. [454] pu | Priorita' Thread: 7/10 | Metri Percorsi: 1000.518
195. [530] ss | Priorita' Thread: 9/10 | Metri Percorsi: 1017.788
196. [558] tu | Priorita' Thread: 8/10 | Metri Percorsi: 1000.651
197. [563] tz | Priorita' Thread: 7/10 | Metri Percorsi: 1007.198
198. [679] yl | Priorita' Thread: 8/10 | Metri Percorsi: 1000.290
199. [289] jl | Priorita' Thread: 7/10 | Metri Percorsi: 1011.040
200. [407] nz | Priorita' Thread: 5/10 | Metri Percorsi: 1005.702
201. [452] ps | Priorita' Thread: 10/10 | Metri Percorsi: 1010.274
202. [489] rd | Priorita' Thread: 7/10 | Metri Percorsi: 1013.188
203. [512] sa | Priorita' Thread: 9/10 | Metri Percorsi: 1006.572
204. [604] vo | Priorita' Thread: 8/10 | Metri Percorsi: 1000.146
205. [168] eu | Priorita' Thread: 8/10 | Metri Percorsi: 1017.518
206. [237] hl | Priorita' Thread: 8/10 | Metri Percorsi: 1011.846
207. [294] jq | Priorita' Thread: 6/10 | Metri Percorsi: 1003.243
208. [510] ry | Priorita' Thread: 6/10 | Metri Percorsi: 1003.735
209. [62] be | Priorita' Thread: 9/10 | Metri Percorsi: 1007.953
210. [540] tc | Priorita' Thread: 7/10 | Metri Percorsi: 1012.136
211. [594] ve | Priorita' Thread: 8/10 | Metri Percorsi: 1000.065
212. [60] bc | Priorita' Thread: 7/10 | Metri Percorsi: 1001.097
213. [343] ln | Priorita' Thread: 7/10 | Metri Percorsi: 1019.855
214. [565] ub | Priorita' Thread: 6/10 | Metri Percorsi: 1000.897
215. [681] yn | Priorita' Thread: 6/10 | Metri Percorsi: 1011.824
216. [47] ap | Priorita' Thread: 7/10 | Metri Percorsi: 1000.286
217. [191] fr | Priorita' Thread: 6/10 | Metri Percorsi: 1009.699
218. [236] hk | Priorita' Thread: 7/10 | Metri Percorsi: 1012.828
219. [247] hv | Priorita' Thread: 8/10 | Metri Percorsi: 1018.489
220. [53] av | Priorita' Thread: 7/10 | Metri Percorsi: 1006.199
221. [122] da | Priorita' Thread: 7/10 | Metri Percorsi: 1009.511
222. [145] dx | Priorita' Thread: 7/10 | Metri Percorsi: 1008.400
223. [179] ff | Priorita' Thread: 7/10 | Metri Percorsi: 1011.170
224. [216] gq | Priorita' Thread: 7/10 | Metri Percorsi: 1013.509
225. [395] nn | Priorita' Thread: 6/10 | Metri Percorsi: 1003.791
226. [420] om | Priorita' Thread: 5/10 | Metri Percorsi: 1001.045
227. [462] qc | Priorita' Thread: 7/10 | Metri Percorsi: 1002.629
228. [588] uy | Priorita' Thread: 6/10 | Metri Percorsi: 1000.966
229. [647] xf | Priorita' Thread: 6/10 | Metri Percorsi: 1008.388
230. [690] yw | Priorita' Thread: 6/10 | Metri Percorsi: 1017.692
231. [370] mo | Priorita' Thread: 6/10 | Metri Percorsi: 1017.764
232. [379] mx | Priorita' Thread: 6/10 | Metri Percorsi: 1016.274
233. [413] of | Priorita' Thread: 8/10 | Metri Percorsi: 1014.265
234. [445] pl | Priorita' Thread: 7/10 | Metri Percorsi: 1001.021
235. [579] up | Priorita' Thread: 7/10 | Metri Percorsi: 1008.344
236. [638] ww | Priorita' Thread: 6/10 | Metri Percorsi: 1004.580
237. [671] yd | Priorita' Thread: 6/10 | Metri Percorsi: 1010.352
238. [42] ak | Priorita' Thread: 6/10 | Metri Percorsi: 1016.861
239. [147] dz | Priorita' Thread: 6/10 | Metri Percorsi: 1014.519
240. [151] ed | Priorita' Thread: 7/10 | Metri Percorsi: 1008.023
241. [268] iq | Priorita' Thread: 7/10 | Metri Percorsi: 1007.748
242. [321] kr | Priorita' Thread: 7/10 | Metri Percorsi: 1001.874
243. [414] og | Priorita' Thread: 8/10 | Metri Percorsi: 1001.962
244. [458] py | Priorita' Thread: 6/10 | Metri Percorsi: 1019.936
245. [459] pz | Priorita' Thread: 7/10 | Metri Percorsi: 1018.547
246. [503] rr | Priorita' Thread: 6/10 | Metri Percorsi: 1022.225
247. [505] rt | Priorita' Thread: 6/10 | Metri Percorsi: 1009.799
248. [534] sw | Priorita' Thread: 6/10 | Metri Percorsi: 1004.911
249. [609] vt | Priorita' Thread: 8/10 | Metri Percorsi: 1019.672
250. [652] xk | Priorita' Thread: 8/10 | Metri Percorsi: 1001.304
251. [698] ze | Priorita' Thread: 7/10 | Metri Percorsi: 1006.166
252. [94] by | Priorita' Thread: 5/10 | Metri Percorsi: 1004.375
253. [166] es | Priorita' Thread: 6/10 | Metri Percorsi: 1018.503
254. [241] hp | Priorita' Thread: 5/10 | Metri Percorsi: 1004.256
255. [301] jx | Priorita' Thread: 6/10 | Metri Percorsi: 1002.196
256. [434] pa | Priorita' Thread: 7/10 | Metri Percorsi: 1004.972
257. [654] xm | Priorita' Thread: 6/10 | Metri Percorsi: 1008.235
258. [689] yv | Priorita' Thread: 5/10 | Metri Percorsi: 1013.631
259. [277] iz | Priorita' Thread: 6/10 | Metri Percorsi: 1004.669
260. [320] kq | Priorita' Thread: 6/10 | Metri Percorsi: 1008.549
261. [375] mt | Priorita' Thread: 7/10 | Metri Percorsi: 1003.824
262. [441] ph | Priorita' Thread: 5/10 | Metri Percorsi: 1011.516
263. [469] qj | Priorita' Thread: 6/10 | Metri Percorsi: 1000.448
264. [557] tt | Priorita' Thread: 6/10 | Metri Percorsi: 1015.673
265. [44] am | Priorita' Thread: 5/10 | Metri Percorsi: 1002.962
266. [150] ec | Priorita' Thread: 7/10 | Metri Percorsi: 1016.144
267. [201] gb | Priorita' Thread: 7/10 | Metri Percorsi: 1013.330
268. [226] ha | Priorita' Thread: 6/10 | Metri Percorsi: 1008.155
269. [271] it | Priorita' Thread: 5/10 | Metri Percorsi: 1010.480
270. [431] ox | Priorita' Thread: 6/10 | Metri Percorsi: 1004.698
271. [608] vs | Priorita' Thread: 6/10 | Metri Percorsi: 1007.700
272. [63] bf | Priorita' Thread: 6/10 | Metri Percorsi: 1003.048
273. [300] jw | Priorita' Thread: 6/10 | Metri Percorsi: 1003.133
274. [302] jy | Priorita' Thread: 7/10 | Metri Percorsi: 1012.691
275. [390] ni | Priorita' Thread: 7/10 | Metri Percorsi: 1015.830
276. [485] qz | Priorita' Thread: 6/10 | Metri Percorsi: 1012.759
277. [532] su | Priorita' Thread: 6/10 | Metri Percorsi: 1005.037
278. [640] wy | Priorita' Thread: 5/10 | Metri Percorsi: 1011.377
279. [692] yy | Priorita' Thread: 6/10 | Metri Percorsi: 1003.116
280. [98] cc | Priorita' Thread: 6/10 | Metri Percorsi: 1010.185
281. [215] gp | Priorita' Thread: 5/10 | Metri Percorsi: 1002.030
282. [483] qx | Priorita' Thread: 5/10 | Metri Percorsi: 1003.596
283. [96] ca | Priorita' Thread: 5/10 | Metri Percorsi: 1007.873
284. [250] hy | Priorita' Thread: 5/10 | Metri Percorsi: 1007.558
285. [339] lj | Priorita' Thread: 6/10 | Metri Percorsi: 1001.583
286. [632] wq | Priorita' Thread: 5/10 | Metri Percorsi: 1001.065
287. [685] yr | Priorita' Thread: 7/10 | Metri Percorsi: 1007.973
288. [205] gf | Priorita' Thread: 6/10 | Metri Percorsi: 1010.656
289. [391] nj | Priorita' Thread: 6/10 | Metri Percorsi: 1006.595
290. [396] no | Priorita' Thread: 5/10 | Metri Percorsi: 1002.654
291. [572] ui | Priorita' Thread: 5/10 | Metri Percorsi: 1011.243
292. [596] vg | Priorita' Thread: 6/10 | Metri Percorsi: 1011.624
293. [35] ad | Priorita' Thread: 7/10 | Metri Percorsi: 1011.241
294. [176] fc | Priorita' Thread: 7/10 | Metri Percorsi: 1021.015
295. [274] iw | Priorita' Thread: 5/10 | Metri Percorsi: 1011.648
296. [338] li | Priorita' Thread: 4/10 | Metri Percorsi: 1016.856
297. [610] vu | Priorita' Thread: 6/10 | Metri Percorsi: 1004.538
298. [611] vv | Priorita' Thread: 5/10 | Metri Percorsi: 1002.919
299. [663] xv | Priorita' Thread: 6/10 | Metri Percorsi: 1002.970
300. [682] yo | Priorita' Thread: 5/10 | Metri Percorsi: 1005.187
301. [162] eo | Priorita' Thread: 5/10 | Metri Percorsi: 1001.590
302. [227] hb | Priorita' Thread: 5/10 | Metri Percorsi: 1011.262
303. [335] lf | Priorita' Thread: 6/10 | Metri Percorsi: 1011.924
304. [384] nc | Priorita' Thread: 5/10 | Metri Percorsi: 1007.725
305. [405] nx | Priorita' Thread: 5/10 | Metri Percorsi: 1000.728
306. [408] oa | Priorita' Thread: 5/10 | Metri Percorsi: 1010.158
307. [626] wk | Priorita' Thread: 6/10 | Metri Percorsi: 1001.452
308. [657] xp | Priorita' Thread: 8/10 | Metri Percorsi: 1008.536
309. [676] yi | Priorita' Thread: 4/10 | Metri Percorsi: 1010.468
310. [124] dc | Priorita' Thread: 7/10 | Metri Percorsi: 1001.291
311. [163] ep | Priorita' Thread: 6/10 | Metri Percorsi: 1001.900
312. [164] eq | Priorita' Thread: 6/10 | Metri Percorsi: 1002.762
313. [188] fo | Priorita' Thread: 5/10 | Metri Percorsi: 1003.382
314. [305] kb | Priorita' Thread: 5/10 | Metri Percorsi: 1005.862
315. [406] ny | Priorita' Thread: 4/10 | Metri Percorsi: 1011.224
316. [709] zp | Priorita' Thread: 4/10 | Metri Percorsi: 1001.050
317. [212] gm | Priorita' Thread: 4/10 | Metri Percorsi: 1000.507
318. [337] lh | Priorita' Thread: 5/10 | Metri Percorsi: 1001.921
319. [643] xb | Priorita' Thread: 5/10 | Metri Percorsi: 1000.707
320. [260] ii | Priorita' Thread: 5/10 | Metri Percorsi: 1014.757
321. [347] lr | Priorita' Thread: 5/10 | Metri Percorsi: 1007.493
322. [353] lx | Priorita' Thread: 6/10 | Metri Percorsi: 1019.339
323. [460] qa | Priorita' Thread: 5/10 | Metri Percorsi: 1011.498
324. [556] ts | Priorita' Thread: 6/10 | Metri Percorsi: 1010.996
325. [574] uk | Priorita' Thread: 4/10 | Metri Percorsi: 1004.579
326. [678] yk | Priorita' Thread: 5/10 | Metri Percorsi: 1009.027
327. [81] bx | Priorita' Thread: 5/10 | Metri Percorsi: 1000.217
328. [194] fu | Priorita' Thread: 5/10 | Metri Percorsi: 1003.920
329. [383] nb | Priorita' Thread: 5/10 | Metri Percorsi: 1012.929
330. [442] pi | Priorita' Thread: 5/10 | Metri Percorsi: 1002.489
331. [398] nq | Priorita' Thread: 4/10 | Metri Percorsi: 1012.170
332. [668] ya | Priorita' Thread: 5/10 | Metri Percorsi: 1000.057
333. [694] za | Priorita' Thread: 5/10 | Metri Percorsi: 1011.901
334. [209] gj | Priorita' Thread: 5/10 | Metri Percorsi: 1011.313
335. [233] hh | Priorita' Thread: 5/10 | Metri Percorsi: 1006.739
336. [593] vd | Priorita' Thread: 5/10 | Metri Percorsi: 1002.428
337. [600] vk | Priorita' Thread: 5/10 | Metri Percorsi: 1000.909
338. [675] yh | Priorita' Thread: 7/10 | Metri Percorsi: 1008.855
339. [102] cg | Priorita' Thread: 6/10 | Metri Percorsi: 1000.966
340. [116] cu | Priorita' Thread: 4/10 | Metri Percorsi: 1006.784
341. [293] jp | Priorita' Thread: 6/10 | Metri Percorsi: 1002.289
342. [350] lu | Priorita' Thread: 4/10 | Metri Percorsi: 1006.900
343. [606] vq | Priorita' Thread: 5/10 | Metri Percorsi: 1011.175
344. [67] bj | Priorita' Thread: 4/10 | Metri Percorsi: 1002.804
345. [411] od | Priorita' Thread: 4/10 | Metri Percorsi: 1007.851
346. [453] pt | Priorita' Thread: 4/10 | Metri Percorsi: 1015.097
347. [598] vi | Priorita' Thread: 5/10 | Metri Percorsi: 1004.570
348. [219] gt | Priorita' Thread: 4/10 | Metri Percorsi: 1012.991
349. [357] mb | Priorita' Thread: 5/10 | Metri Percorsi: 1008.279
350. [364] mi | Priorita' Thread: 5/10 | Metri Percorsi: 1013.973
351. [501] rp | Priorita' Thread: 4/10 | Metri Percorsi: 1004.370
352. [568] ue | Priorita' Thread: 6/10 | Metri Percorsi: 1014.707
353. [607] vr | Priorita' Thread: 4/10 | Metri Percorsi: 1005.361
354. [620] we | Priorita' Thread: 5/10 | Metri Percorsi: 1006.869
355. [178] fe | Priorita' Thread: 5/10 | Metri Percorsi: 1009.714
356. [207] gh | Priorita' Thread: 4/10 | Metri Percorsi: 1001.900
357. [319] kp | Priorita' Thread: 4/10 | Metri Percorsi: 1008.587
358. [467] qh | Priorita' Thread: 4/10 | Metri Percorsi: 1003.705
359. [567] ud | Priorita' Thread: 4/10 | Metri Percorsi: 1004.814
360. [601] vl | Priorita' Thread: 4/10 | Metri Percorsi: 1006.549
361. [708] zo | Priorita' Thread: 4/10 | Metri Percorsi: 1003.944
362. [76] bs | Priorita' Thread: 4/10 | Metri Percorsi: 1005.198
363. [143] dv | Priorita' Thread: 4/10 | Metri Percorsi: 1003.905
364. [153] ef | Priorita' Thread: 4/10 | Metri Percorsi: 1002.299
365. [702] zi | Priorita' Thread: 4/10 | Metri Percorsi: 1008.899
366. [715] zv | Priorita' Thread: 5/10 | Metri Percorsi: 1005.647
367. [71] bn | Priorita' Thread: 4/10 | Metri Percorsi: 1010.756
368. [185] fl | Priorita' Thread: 5/10 | Metri Percorsi: 1010.771
